zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
933,CA,Bakersfield,35.3139,-118.9131,23,587242,180317,73070,20.5
934,CA,San Luis Obispo,35.22016,-120.51739,52,518888,180209,87697,21.2
935,CA,Lancaster,35.21861,-118.14359,54,559006,176914,76825,20.5
936,CA,Clovis,36.8408,-119.72395,63,630843,183912,73214,21.5
937,CA,Fresno,36.75479,-119.6829,55,618872,201518,67233,20.4
938,CA,Fresno,36.74638,-119.63966,2,,,,
939,CA,Salinas,36.44779,-121.48745,30,408741,123401,90534,19.2
940,CA,Mountain View,37.38464,-122.18491,58,865257,311329,166179,40.3
941,CA,San Francisco,37.77627,-122.61051,71,851036,360842,139117,36.0
942,CA,Sacramento,38.37746,-121.44622,62,,,,
943,CA,Palo Alto,37.25554,-121.87457,10,114801,37737,158529,22.8
944,CA,San Mateo,37.46511,-122.32272,10,141797,54049,163240,24.0
945,CA,Concord,37.93246,-122.0537,90,2491328,856043,133042,71.0
946,CA,Oakland,37.75383,-122.12075,33,459213,180371,100341,21.7
947,CA,Berkeley,37.85765,-122.24471,12,149355,56588,116155,17.3
948,CA,Richmond,37.86139,-122.13466,10,182837,61089,85796,13.5
949,CA,Petaluma,38.11952,-122.71573,55,392137,154509,132163,24.9
950,CA,Santa Clara,37.07927,-121.7782,59,882637,302802,143661,37.4
951,CA,San Jose,37.2233,-121.73059,63,1025900,331744,138290,39.7
952,CA,Stockton,38.0688,-120.98367,54,539396,169583,74968,19.8
953,CA,Modesto,37.63707,-120.69028,82,1132996,357209,80885,33.6
954,CA,Santa Rosa,38.85266,-123.06689,77,515032,199470,88044,21.1
955,CA,Eureka,40.74044,-123.87892,51,166764,65201,59335,9.3
956,CA,Auburn,38.6337,-121.27649,94,1265620,461733,95848,38.7
957,CA,Rancho Cordova,38.83391,-121.01901,29,381619,128532,126003,23.8
958,CA,Sacramento,38.50968,-121.44195,44,893026,325372,78057,27.9
959,CA,Chico,39.48985,-121.51875,78,526919,195028,69546,18.7
